Minutes Played,Goals,Assists,Passes,Key Passes,Big Chances Created,Shots,Shots on Target,Yellow Card,Red Card,Match Rating
120,0,0,110,1,1,2,0,1,0,8
120,0,0,105,4,3,1,1,0,0,8.2
120,0,0,102,0,0,2,0,1,0,7.2
120,0,0,93,1,0,0,0,1,0,7.4
120,0,0,93,3,1,1,0,0,0,7.5
120,0,0,91,6,0,2,1,0,0,8.1
120,0,0,85,0,0,2,0,0,0,7.4
120,0,0,83,3,0,1,0,1,0,7.1
120,0,1,78,4,1,3,1,1,0,8.3
120,0,0,77,1,0,0,0,0,0,7.8
120,0,0,76,2,0,0,0,0,0,7.1
120,0,0,70,0,0,0,0,1,0,6.9
120,1,1,68,3,1,4,2,0,0,7.6
120,0,0,68,1,0,1,0,0,0,6.4
120,0,0,67,2,0,0,0,1,0,7.4
120,0,0,67,1,0,3,1,0,0,7
120,0,0,66,0,0,1,1,0,0,7.6
120,0,0,63,3,0,4,1,1,0,8.5
120,1,0,60,2,0,3,3,1,0,7.2
120,0,0,59,1,0,0,0,1,0,6.9
120,0,1,59,3,1,5,1,0,0,7.7
120,0,0,58,2,0,0,0,1,0,6.8
120,0,0,58,1,0,1,0,0,0,6.9
120,0,1,57,1,1,1,0,0,0,8.2
120,0,1,57,5,0,1,0,0,0,8.2
120,0,1,55,4,1,0,0,0,0,7.9
120,0,0,55,0,0,1,0,0,0,7.1
120,0,0,52,0,0,3,1,0,0,6.8
120,0,0,51,0,0,2,1,1,0,7
120,0,0,51,2,0,1,0,0,0,7
120,0,0,47,1,0,0,0,0,0,7.5
120,0,0,47,0,0,3,1,0,0,6.8
120,2,0,46,1,0,5,4,0,0,9.2
120,0,0,43,0,0,0,0,1,0,6.8
120,0,1,42,7,0,5,2,0,0,9.3
120,1,0,42,1,0,1,1,0,0,6.6
120,0,0,41,0,0,0,0,0,0,6.8
120,3,0,40,2,1,8,6,0,0,9.8
120,1,1,37,1,1,6,2,0,0,9.1
120,0,0,37,1,0,0,0,0,0,6.7
120,0,0,36,1,0,0,0,2,1,6.9
120,0,0,36,1,0,0,0,2,1,6.9
120,1,0,35,3,1,5,3,0,0,8.7
120,0,0,35,0,0,0,0,0,0,8
120,0,0,34,0,0,0,0,0,0,7.2
120,0,0,34,1,0,2,1,0,0,7
120,0,0,33,2,0,4,1,1,0,6.7
120,0,0,31,0,0,1,0,0,0,7.6
120,0,0,28,4,1,1,1,0,0,7.4
120,0,0,28,2,1,3,0,0,0,7
120,0,0,28,1,0,3,0,0,0,7
120,0,0,28,0,0,1,0,0,0,6.8
120,0,0,25,1,0,5,2,1,0,6.2
120,0,0,20,3,2,0,0,2,1,5.8
120,3,0,16,2,1,6,3,0,0,8.5
120,1,0,9,0,0,7,4,0,0,7.1
119,0,0,56,2,1,5,0,0,0,7.4
118,2,0,9,1,0,5,4,0,0,8.6
117,0,0,27,4,3,2,2,0,0,7.5
115,1,0,54,4,2,3,1,0,0,7.6
112,1,0,39,2,2,8,6,0,0,8.1
112,1,1,32,3,1,3,2,0,0,9
111,0,0,45,4,0,4,1,1,0,7.6
111,0,0,43,1,0,1,0,0,0,6.5
110,0,0,45,2,0,0,0,0,0,6.5
105,0,0,154,5,3,2,1,0,0,8
105,0,0,82,0,0,0,0,1,0,6.8
105,0,0,77,0,0,0,0,0,0,6.3
105,0,0,57,3,0,2,1,1,0,7.5
105,0,0,45,1,0,3,1,1,0,7.3
105,1,0,29,0,0,2,1,0,0,7.1
105,0,0,13,3,0,3,0,0,0,7
102,0,0,71,2,1,2,0,1,0,7.6
102,0,0,71,3,0,2,0,0,0,7.6
102,0,0,60,2,1,2,1,0,0,6.4
99,2,0,38,3,1,5,2,0,0,8.3
98,0,0,55,2,1,2,1,1,0,7.6
98,0,0,22,1,1,1,1,0,0,7.4
98,1,0,18,0,0,3,1,0,0,7.7
98,1,0,14,0,0,5,3,1,0,7
97,0,0,10,0,0,1,0,0,0,6.5
94,0,0,34,1,0,0,0,2,1,6
93,0,0,24,3,0,1,0,0,0,7.2
92,0,0,20,0,0,2,0,2,1,6.6
90,0,0,159,2,1,1,0,0,0,7.2
90,0,0,140,0,0,1,0,0,0,7
90,1,0,134,1,0,1,1,0,0,8.2
90,0,0,125,8,6,3,1,0,0,8.9
90,0,0,125,0,0,0,0,0,0,7.8
90,0,0,125,0,0,0,0,0,0,7.4
90,0,0,123,0,0,0,0,0,0,7.2
90,1,0,122,0,0,3,2,0,0,8.3
90,0,0,122,1,0,0,0,0,0,7.6
90,0,0,121,4,0,1,0,0,0,8.5
90,0,0,120,1,0,1,0,0,0,7.6
90,0,0,119,2,2,1,0,0,0,8.3
90,0,0,119,4,2,0,0,0,0,8.2
90,0,0,118,8,4,0,0,0,0,8.9
90,0,0,118,6,5,1,1,0,0,8.2
90,0,3,117,6,5,0,0,0,0,9.4
90,0,0,117,0,0,1,1,0,0,8
90,0,0,116,5,2,2,1,1,0,7.9
90,0,0,116,1,0,0,0,0,0,7.8
90,1,0,115,5,0,3,2,0,0,8.6
90,0,0,114,0,0,0,0,1,0,7.4
90,0,0,114,6,3,1,1,0,0,8.7
90,0,0,112,1,0,0,0,0,0,7.9
90,0,0,112,0,0,0,0,0,0,7.2
90,0,0,111,1,0,2,0,0,0,8
90,0,0,110,1,0,0,0,0,0,8.3
90,0,0,109,2,0,5,1,1,0,7.3
90,1,0,109,2,0,3,1,0,0,8.7
90,0,0,109,2,1,2,1,0,0,8.6
90,0,0,108,6,2,2,0,0,0,8.1
90,0,0,107,0,0,1,0,0,0,7.4
90,0,0,107,1,0,2,2,0,0,7.4
90,0,0,106,1,0,2,0,0,0,7
90,0,0,105,8,6,0,0,0,0,8.9
90,0,0,105,4,1,2,1,0,0,7.8
90,0,0,105,0,0,0,0,0,0,7.2
90,1,2,104,7,3,4,2,1,0,10
90,0,1,104,1,1,3,0,1,0,8.8
90,0,0,104,0,0,2,1,0,0,7.4
90,0,0,102,2,0,1,0,0,0,7.9
90,0,0,102,0,0,0,0,0,0,7.7
90,1,2,101,8,6,3,3,0,0,9.5
90,0,0,101,1,0,0,0,0,0,7.7
90,0,0,101,0,0,0,0,0,0,7.2
90,0,1,100,4,0,2,1,0,0,7.9
90,0,0,100,2,0,0,0,0,0,7.6
90,0,0,100,2,0,0,0,0,0,7.3
90,0,0,100,0,0,1,0,0,0,7.2
90,0,0,99,3,0,0,0,1,0,7.6
90,0,0,99,3,1,0,0,0,0,7.8
90,0,0,99,0,0,0,0,0,0,7.5
90,0,0,99,0,0,0,0,0,0,7
90,1,0,98,5,0,2,1,0,0,9.4
90,0,0,98,5,1,3,2,0,0,8.5
90,1,0,98,5,1,2,1,0,0,8.4
90,0,0,98,0,0,0,0,0,0,7.5
90,0,0,98,1,0,1,0,0,0,6.9
90,0,0,97,0,0,0,0,1,0,7.2
90,0,0,97,2,1,1,0,0,0,8.1
90,0,0,97,0,0,2,1,0,0,7.5
90,0,0,97,0,0,1,1,0,0,7.2
90,0,0,97,0,0,0,0,0,0,6.9
90,0,1,96,1,1,0,0,1,0,8.1
90,0,0,96,1,0,0,0,1,0,7.3
90,3,0,95,1,0,6,5,0,0,9.5
90,0,0,95,0,0,2,2,0,0,8.5
90,0,0,95,4,0,2,0,0,0,7.7
90,0,0,95,0,0,1,0,0,0,7.2
90,0,0,95,3,0,0,0,0,0,7.1
90,0,0,95,0,0,0,0,0,0,6.8
90,0,0,94,2,0,1,1,0,0,7.6
90,0,0,94,0,0,1,0,0,0,7.5
90,0,0,94,0,0,1,0,0,0,7.5
90,0,0,94,1,0,2,0,0,0,7.7
90,1,0,94,2,0,1,1,0,0,8
90,1,0,93,2,0,2,1,1,0,8.4
90,0,0,93,2,0,0,0,1,0,6.9
90,0,0,93,0,0,0,0,0,0,7.6
90,1,0,93,0,0,2,1,0,0,8.5
90,0,0,92,5,2,1,0,0,0,8.4
90,0,0,92,2,0,2,0,0,0,7.5
90,0,0,92,0,0,1,1,0,0,7.4
90,0,0,91,1,0,0,0,0,0,7.3
90,0,0,91,0,0,0,0,0,0,6.9
90,0,0,91,0,0,0,0,0,0,6.3
90,1,0,90,1,1,3,2,0,0,9
90,0,0,90,0,0,0,0,0,0,7.2
90,0,0,90,0,0,0,0,0,0,7.1
90,0,0,90,0,0,0,0,0,0,6.3
90,0,0,89,1,0,2,0,1,0,7.5
90,0,1,89,5,1,2,0,0,0,8.5
90,0,0,89,0,0,0,0,0,0,7.5
90,0,0,89,1,1,0,0,0,0,7.5
90,0,0,89,2,0,4,0,0,0,7.5
90,0,0,89,0,0,1,0,0,0,7.2
90,0,0,89,0,0,2,1,0,0,7
90,0,0,89,0,0,0,0,0,0,7
90,0,0,89,0,0,0,0,0,0,7
90,0,0,88,0,0,0,0,1,0,7.1
90,0,2,88,5,1,1,1,0,0,8.7
90,0,0,88,0,0,1,0,0,0,7
90,0,0,88,1,0,0,0,0,0,6.9
90,0,0,88,2,0,0,0,0,0,6.9
90,0,0,88,1,0,1,0,0,0,6.7
90,0,0,87,0,0,3,3,1,0,7.3
90,0,0,87,1,0,1,0,1,0,7
